,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1999-12-09,95.5,113.0,93.4375,103.625,103.625,41364600,AMZN,23.895983,21.458332061767578,0.0,79.72901725769043
1999-12-10,111.9375,112.0,104.4375,106.6875,106.6875,14929000,AMZN,36.754387,39.900001525878906,0.0,69.93311309814453
1999-12-15,92.875,99.4375,91.0,96.5,96.5,10133500,AMZN,164.3347,163.55999755859375,67.83470153808594,0.0
1999-12-20,97.75,102.0,95.0625,97.0,97.0,10566600,AMZN,28.816734,30.95999908447266,0.0,68.18326568603516
1999-12-21,96.5625,100.4375,95.5,99.875,99.875,9509500,AMZN,817.45917,845.0399780273438,717.5841674804688,0.0
1999-12-27,87.75,88.25,80.0,81.125,81.125,16523800,AMZN,292.45047,299.7099914550781,211.32546997070312,0.0
1999-12-28,83.0625,86.5,81.5625,82.3125,82.3125,10304300,AMZN,200.15366,195.99000549316406,117.84115600585938,0.0
2000-01-04,85.375,91.5,81.75,81.9375,81.9375,17487400,AMZN,842.5206,850.5,760.5831298828125,0.0
2000-01-05,70.5,75.125,68.0,69.75,69.75,38457400,AMZN,1111.3792,1195.8299560546875,1041.629150390625,0.0
2000-01-11,66.875,70.0,65.0,66.75,66.75,10532700,AMZN,223.9232,198.39999389648438,157.17320251464844,0.0
2000-01-14,66.75,68.625,64.0,64.25,64.25,6853600,AMZN,45.63372,43.720001220703125,0.0,18.61627960205078
2000-01-19,64.125,67.5,63.0,66.8125,66.8125,8245500,AMZN,40.583622,35.040000915527344,0.0,26.228878021240234
2000-02-01,67.5,70.625,64.375,67.4375,67.4375,13404600,AMZN,3203.1182,3443.6298828125,3135.6806640625,0.0
2000-02-17,71.25,71.3125,68.0,69.0,69.0,6129600,AMZN,312.90137,358.8900146484375,243.9013671875,0.0
2000-02-22,64.9375,66.5,63.0625,63.5625,63.5625,5685800,AMZN,40.001423,38.849998474121094,0.0,23.561077117919922
2000-03-02,64.9375,65.0,62.1875,62.5625,62.5625,7980100,AMZN,321.2968,342.3800048828125,258.73431396484375,0.0
2000-03-08,63.25,64.75,60.5625,63.625,63.625,5940700,AMZN,14.836777,7.039999961853028,0.0,48.78822326660156
2000-03-16,62.25,66.375,60.0,66.25,66.25,9703100,AMZN,7.415016,4.2604169845581055,0.0,58.834983825683594
2000-03-24,74.625,75.25,71.3125,72.6875,72.6875,9746000,AMZN,41.42491,42.9375,0.0,31.262588500976562
2000-03-27,72.25,75.125,71.75,73.125,73.125,4748600,AMZN,3156.4775,3080.669921875,3083.3525390625,0.0
2000-04-20,53.375,53.6875,49.875,52.375,52.375,4925300,AMZN,48.566803,41.560001373291016,0.0,3.808197021484375
2000-05-03,55.25,56.5625,53.0,54.125,54.125,5424800,AMZN,45.237366,42.70000076293945,0.0,8.88763427734375
2000-05-08,56.8125,59.25,55.4375,56.015625,56.015625,3950000,AMZN,92.63436,79.18000030517578,36.618736267089844,0.0
2000-05-16,57.125,59.875,56.0,59.0625,59.0625,6432200,AMZN,31.34331,33.04999923706055,0.0,27.71919059753418
2000-05-17,57.1875,62.375,57.0,61.0,61.0,6998600,AMZN,45.871773,45.29999923706055,0.0,15.128227233886719
2000-05-25,49.5,50.0,45.5,45.5,45.5,4919500,AMZN,79.847206,82.12999725341797,34.347206115722656,0.0
2000-05-30,47.3125,51.875,47.3125,51.75,51.75,5613200,AMZN,13.469969,5.96999979019165,0.0,38.28003120422363
2000-06-15,47.0,47.9375,45.3125,46.3125,46.3125,3554700,AMZN,72.40096,64.47000122070312,26.088462829589844,0.0
2000-06-29,37.125,38.5,36.125,37.125,37.125,8986500,AMZN,16.537766,13.329999923706055,0.0,20.587234497070312
2000-07-14,36.375,43.203125,36.3125,42.625,42.625,22436100,AMZN,83.58581,88.75,40.96080780029297,0.0
2000-08-09,32.375,32.375,30.375,30.875,30.875,8874400,AMZN,1869.8273,1804.0300292968752,1838.9522705078125,0.0
2000-08-17,38.0,39.0625,36.875,38.25,38.25,4974100,AMZN,17.612474,15.739999771118164,0.0,20.63752555847168
2000-08-21,39.09375,39.875,36.5,37.5,37.5,4037500,AMZN,246.15273,255.63000488281247,208.65272521972656,0.0
2000-08-22,38.125,38.1875,36.0625,36.5,36.5,3508200,AMZN,267.56027,259.3599853515625,231.06027221679688,0.0
2000-09-01,42.125,42.5,41.0,41.5,41.5,3347100,AMZN,43.63306,42.31999969482422,2.1330604553222656,0.0
2000-09-22,38.375,42.125,38.3125,41.4375,41.4375,5996200,AMZN,40.03701,36.66999816894531,0.0,1.4004898071289062
2000-09-25,41.21875,42.5625,40.0,40.375,40.375,5459900,AMZN,38.551743,35.0,0.0,1.8232574462890625
2000-09-26,40.625,41.125,39.5625,39.75,39.75,4260400,AMZN,42.046062,48.25,2.296062469482422,0.0
2000-09-27,38.6875,39.625,35.5,37.875,37.875,10030900,AMZN,16.708458,16.31999969482422,0.0,21.166542053222656
2000-09-28,37.3125,40.25,37.125,40.0,40.0,5857900,AMZN,51.796875,58.060001373291016,11.796875,0.0
2000-10-02,38.1875,38.4375,35.25,35.875,35.875,5477700,AMZN,69.795876,87.25,33.920875549316406,0.0
2000-10-03,36.75,37.25,35.0,35.0625,35.0625,5379900,AMZN,26.033407,17.96875,0.0,9.029092788696289
2000-10-26,32.1875,37.5,31.0,36.875,36.875,17825500,AMZN,1829.5107,1761.8299560546875,1792.6357421875,0.0
2000-10-30,33.0625,34.375,30.265625,32.875,32.875,12510200,AMZN,24.859491,13.270833015441895,0.0,8.015508651733398
2000-11-08,36.0,37.0,33.25,33.875,33.875,5835300,AMZN,10.036326,7.639999866485596,0.0,23.83867359161377
2000-11-20,26.0,27.9375,25.0,25.8125,25.8125,6438300,AMZN,88.35667,89.8499984741211,62.544166564941406,0.0
2000-11-24,26.421875,29.125,26.0625,28.9375,28.9375,7639300,AMZN,136.0696,122.7699966430664,107.13209533691406,0.0
2000-11-27,29.75,30.75,27.0,28.0,28.0,6411400,AMZN,7.1496396,2.125,0.0,20.85036039352417
2000-11-29,25.125,27.5,24.25,26.9375,26.9375,11463200,AMZN,710.15607,726.6400146484375,683.2185668945312,0.0
2000-12-05,27.125,27.625,24.75,25.375,25.375,9969900,AMZN,47.24484,49.400001525878906,21.86983871459961,0.0
2000-12-07,23.0625,23.4375,20.125,21.375,21.375,10647500,AMZN,46.503757,35.88999938964844,25.12875747680664,0.0
2000-12-19,20.3125,20.875,17.375,18.25,18.25,13218500,AMZN,52.366398,49.34000015258789,34.116397857666016,0.0
2000-12-22,15.3125,16.546875,15.25,15.5625,15.5625,9387000,AMZN,265.73566,263.6300048828125,250.17315673828125,0.0
2000-12-29,16.75,17.125,15.0,15.5625,15.5625,9849700,AMZN,66.94128,72.80999755859375,51.37877655029297,0.0
2001-01-03,13.625,17.875,13.5625,17.5625,17.5625,14680400,AMZN,271.23413,260.32000732421875,253.671630859375,0.0
2001-01-16,18.3125,18.375,17.25,18.0625,18.0625,6017000,AMZN,87.71385,91.04000091552734,69.65135192871094,0.0
2001-01-22,19.5,19.9375,18.5,18.5,18.5,4398600,AMZN,87.58442,78.7300033569336,69.08441925048828,0.0
2001-01-23,18.375,19.3125,18.25,18.953125,18.953125,4744300,AMZN,325.82904,306.2099914550781,306.87591552734375,0.0
2001-01-25,21.6875,21.75,19.0,19.0,19.0,7066400,AMZN,6.384966,2.5520830154418945,0.0,12.615034103393555
2001-01-26,18.9375,20.5,18.875,19.5,19.5,5094600,AMZN,1022.2604,992.27001953125,1002.7603759765625,0.0
2001-01-29,19.125,20.75,18.8125,20.125,20.125,7713000,AMZN,3174.3782,3175.110107421875,3154.253173828125,0.0
2001-02-12,14.125,15.0,13.703125,14.5,14.5,5295300,AMZN,21.664505,17.969999313354492,7.1645050048828125,0.0
2001-02-23,11.875,12.0625,11.0625,11.8125,11.8125,5149900,AMZN,24.110703,13.6875,12.298202514648438,0.0
2001-02-28,11.25,11.75,9.9375,10.1875,10.1875,14629800,AMZN,517.9244,496.07000732421875,507.73687744140625,0.0
2001-03-02,10.03125,10.625,10.0,10.0,10.0,7545600,AMZN,22.725222,31.833332061767575,12.725221633911133,0.0
2001-04-03,8.710000038146973,9.149999618530273,8.5,8.630000114440918,8.630000114440918,4865700,AMZN,3100.2043,3033.530029296875,3091.574345588684,0.0
2001-04-05,9.020000457763672,9.300000190734863,8.720000267028809,9.119999885559082,9.119999885559082,5424200,AMZN,842.90405,719.0700073242188,833.7840528488159,0.0
2001-04-09,11.84000015258789,11.899999618530273,10.699999809265137,11.180000305175781,11.180000305175781,23405700,AMZN,19.617868,14.859999656677248,8.437868118286133,0.0
2001-04-20,15.619999885559082,16.200000762939453,14.970000267028809,15.779999732971191,15.779999732971191,8522100,AMZN,22.06775,23.399999618530273,6.287751197814941,0.0
2001-04-23,16.389999389648438,17.459999084472656,16.020000457763672,16.200000762939453,16.200000762939453,11689600,AMZN,86.446144,79.16000366210938,70.24614334106445,0.0
2001-04-26,16.25,16.5,15.0,15.430000305175781,15.430000305175781,5960600,AMZN,398.28494,401.9200134277344,382.85494232177734,0.0
2001-05-01,15.899999618530273,17.0,15.800000190734863,16.889999389648438,16.889999389648438,5107900,AMZN,38.974953,39.099998474121094,22.08495330810547,0.0
2001-05-09,15.550000190734863,15.65999984741211,15.0,15.010000228881836,15.010000228881836,4671000,AMZN,14.542258,13.260000228881836,0.0,0.4677419662475586
2001-05-11,14.550000190734863,14.800000190734863,14.0,14.680000305175781,14.680000305175781,3486900,AMZN,90.64945,78.02999877929688,75.96945190429688,0.0
2001-05-14,14.529999732971191,14.529999732971191,13.15999984741211,13.329999923706055,13.329999923706055,6194200,AMZN,83.38915,85.69000244140625,70.05915260314941,0.0
2001-05-17,14.09000015258789,15.0,14.029999732971191,14.779999732971191,14.779999732971191,6755400,AMZN,40.952755,41.0,26.172755241394043,0.0
2001-05-18,14.829999923706055,15.0,14.5,14.720000267028809,14.720000267028809,5071800,AMZN,169.1471,158.35000610351562,154.4270944595337,0.0
2001-05-21,14.949999809265137,16.420000076293945,14.75,16.3799991607666,16.3799991607666,7232400,AMZN,143.83669,124.58999633789061,127.45668601989746,0.0
